,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
0,0,3,10,496,46,0.0,7.915274999999997,0.0,4.547199999999998,1.6667500000000006,5.09455,8501.0,2.7860750000000003,5.597025000000002,2.0696249999999994
1,11,3,10,496,46,1.0,1.44275,32.0,1.57715,0.8258500000000002,1.6368999999999994,2762.0,0.9900249999999997,2.6965000000000003,0.6915250000000003
2,0,7,10,496,46,2.0,1.44275,32.0,1.57715,0.8258500000000002,1.6368999999999994,2762.0,0.9900249999999997,2.6965000000000003,0.6915250000000003
3,0,3,9,496,46,3.0,1.44275,32.0,1.57715,0.8258500000000002,1.6368999999999994,2762.0,0.9900249999999997,2.6965000000000003,0.6915250000000003
4,0,3,10,189,46,4.0,1.44275,32.0,1.57715,0.8258500000000002,1.6368999999999994,2762.0,0.9900249999999997,2.6965000000000003,0.6915250000000003
5,0,3,10,496,92,5.0,1.44275,32.0,1.57715,0.8258500000000002,1.6368999999999994,2762.0,0.9900249999999997,2.6965000000000003,0.6915250000000003
6,11,7,9,189,92,6.0,1.4825750000000004,30.0,6.164199999999999,1.5770999999999995,1.0597,3863.0,0.9601999999999999,2.517349999999999,0.6268500000000002
7,10,8,5,246,96,7.0,1.4825750000000004,30.0,6.164199999999999,1.5770999999999995,1.0597,3863.0,0.9601999999999999,2.517349999999999,0.6268500000000002
8,1,8,5,246,96,8.0,1.4825750000000004,30.0,6.164199999999999,1.5770999999999995,1.0597,3863.0,0.9601999999999999,2.517349999999999,0.6268500000000002
9,10,2,5,246,96,9.0,1.4825750000000004,30.0,6.164199999999999,1.5770999999999995,1.0597,3863.0,0.9601999999999999,2.517349999999999,0.6268500000000002
10,10,8,5,246,96,10.0,1.4825750000000004,30.0,6.164199999999999,1.5770999999999995,1.0597,3863.0,0.9601999999999999,2.517349999999999,0.6268500000000002
11,10,8,5,439,96,11.0,1.4825750000000004,30.0,6.164199999999999,1.5770999999999995,1.0597,3863.0,0.9601999999999999,2.517349999999999,0.6268500000000002
12,10,8,5,246,42,12.0,1.4825750000000004,30.0,6.164199999999999,1.5770999999999995,1.0597,3863.0,0.9601999999999999,2.517349999999999,0.6268500000000002
13,1,2,5,439,42,13.0,1.4825750000000004,30.0,6.164199999999999,1.5770999999999995,1.0597,3863.0,0.9601999999999999,2.517349999999999,0.6268500000000002
14,15,1,7,371,71,14.0,1.7313249999999996,32.0,1.0597250000000005,0.0,0.5472500000000001,2527.0,1.537375,3.278649999999999,0.15919999999999998
15,6,1,7,371,71,15.0,1.7313249999999996,32.0,1.0597250000000005,0.0,0.5472500000000001,2527.0,1.537375,3.278649999999999,0.15919999999999998
16,15,9,7,371,71,16.0,0.4477749999999998,9.0,5.960249999999999,4.184050000000002,3.4179500000000003,5746.0,1.368125,3.587075,1.184075
17,15,1,2,371,71,17.0,2.3034499999999976,35.0,0.512425,0.0,1.298475,2904.0,2.089524999999999,2.7612749999999995,0.0
18,15,1,7,314,71,18.0,1.875675,33.0,0.9999750000000003,0.0,1.2089249999999998,2546.0,1.5522500000000001,2.9303500000000002,0.07462500000000008
19,15,1,7,371,17,19.0,3.8109750000000004,34.0,0.0,0.0,0.9303500000000001,2124.0,0.34825000000000017,2.791100000000002,0.0
20,6,9,2,314,17,20.0,1.875675,33.0,0.9999750000000003,0.0,1.2089249999999998,2546.0,1.5522500000000001,2.9303500000000002,0.07462500000000008
21,5,6,3,121,21,21.0,3.8109750000000004,34.0,0.0,0.0,0.9303500000000001,2124.0,0.34825000000000017,2.791100000000002,0.0
22,16,6,3,121,21,22.0,1.139274999999999,12.0,5.542324999999997,2.0497750000000012,3.119500000000001,4925.0,1.0398000000000005,3.7661500000000023,0.9601750000000002
23,5,4,3,121,21,23.0,1.139274999999999,12.0,5.542324999999997,2.0497750000000012,3.119500000000001,4925.0,1.0398000000000005,3.7661500000000023,0.9601750000000002
24,5,6,7,121,21,24.0,1.139274999999999,12.0,5.542324999999997,2.0497750000000012,3.119500000000001,4925.0,1.0398000000000005,3.7661500000000023,0.9601750000000002
25,5,6,3,64,21,25.0,1.139274999999999,12.0,5.542324999999997,2.0497750000000012,3.119500000000001,4925.0,1.0398000000000005,3.7661500000000023,0.9601750000000002
26,5,6,3,121,67,26.0,1.139274999999999,12.0,5.542324999999997,2.0497750000000012,3.119500000000001,4925.0,1.0398000000000005,3.7661500000000023,0.9601750000000002
27,16,4,7,64,67,27.0,0.9104249999999997,35.0,1.1591999999999998,0.43782499999999996,1.6865999999999999,2596.0,1.7015500000000001,2.064625,0.16915000000000002
28,8,2,4,58,8,28.0,0.9104249999999997,35.0,1.1591999999999998,0.43782499999999996,1.6865999999999999,2596.0,1.7015500000000001,2.064625,0.16915000000000002
29,14,2,4,58,8,29.0,1.139274999999999,12.0,5.542324999999997,2.0497750000000012,3.119500000000001,4925.0,1.0398000000000005,3.7661500000000023,0.9601750000000002
30,8,10,4,58,8,30.0,1.139274999999999,12.0,5.542324999999997,2.0497750000000012,3.119500000000001,4925.0,1.0398000000000005,3.7661500000000023,0.9601750000000002
